superphot_plus_A_ZTF_r,superphot_plus_beta_ZTF_r,superphot_plus_gamma_ZTF_r,superphot_plus_t_0_ZTF_r,superphot_plus_tau_rise_ZTF_r,superphot_plus_tau_fall_ZTF_r,superphot_plus_extra_sigma_ZTF_r,superphot_plus_A_ZTF_g,superphot_plus_beta_ZTF_g,superphot_plus_gamma_ZTF_g,superphot_plus_t_0_ZTF_g,superphot_plus_tau_rise_ZTF_g,superphot_plus_tau_fall_ZTF_g,superphot_plus_extra_sigma_ZTF_g,name,superphot_plus_classifier,superphot_plus_class,superphot_plus_prob,superphot_plus_prob_SLSN-I,superphot_plus_prob_SN Ia,superphot_plus_prob_SN Ibc,superphot_plus_prob_SN II,superphot_plus_prob_SN IIn,superphot_plus_classified
0.734169,0.006710686,16.861786,-10.1860285,3.187644,33.57623,0.044223577,1.1011827,0.011665548,10.88623,-10.307619,1.8345602,24.499752,0.036580276,170019696328835126,early_lightgbm_02_2025,SN Ia,0.433,0.37,0.433,0.024,0.173,0.0,True
1.0205244,0.004892756,20.741508,-22.155102,2.6992335,25.305208,0.06596862,1.0720527,0.009609688,13.234194,-20.699173,2.1710353,16.34493,0.032316368,313985346353234012,full_lightgbm_02_2025,SN Ibc,0.706,0.005,0.26,0.706,0.0,0.029,True
0.97331655,0.0046157716,20.207663,-8.430247,2.2271528,26.199564,0.052327745,0.7853691,0.009822967,15.383007,-8.561071,2.2513375,16.582134,0.028962664,170028485844664382,early_lightgbm_02_2025,SN Ibc,0.991,0.0,0.0,0.991,0.007,0.002,True
0.9236541,0.0054465192,15.168453,-18.918123,2.1054807,24.563116,0.060615443,1.1040967,0.010307671,11.51206,-18.939022,2.516364,17.57596,0.030664694,314007345737760850,full_lightgbm_02_2025,SN Ia,0.805,0.046,0.805,0.013,0.005,0.131,True
1.1063495,0.0034039258,36.94123,-23.903164,10.524185,53.761475,0.07350086,1.1890378,0.007187614,38.71736,-23.48848,8.745337,39.752457,0.041655302,313637935744286779,full_lightgbm_02_2025,SLSN-I,0.737,0.737,0.0,0.0,0.0,0.263,True
1.0301372,0.004271963,32.287804,-19.896866,1.9901037,59.770714,0.06522238,1.2304053,0.008995607,24.707382,-19.885334,2.2077403,41.96913,0.034217954,313972155185365171,full_lightgbm_02_2025,SN IIn,0.468,0.352,0.0,0.0,0.18,0.468,True
0.87581635,0.0050167637,18.681984,-10.816206,1.5627291,31.519089,0.033679403,1.0967723,0.0099022705,11.012381,-10.772179,1.4705274,22.131718,0.028641704,170019696299475118,early_lightgbm_02_2025,SN II,0.496,0.045,0.459,0.0,0.496,0.0,True
0.9966299,0.004723523,18.73503,-8.011858,1.9195294,25.440372,0.050447114,0.81232595,0.009575531,14.634132,-6.9870005,2.4145956,15.4470215,0.02680657,170019696472490057,early_lightgbm_02_2025,SN Ibc,0.968,0.0,0.002,0.968,0.022,0.009,True
0.80743134,0.0036619664,40.71935,-26.549644,15.026892,56.03106,0.064618975,1.2044487,0.005150875,61.52575,-26.81781,8.597689,40.846893,0.04295224,313831458465644575,full_lightgbm_02_2025,SLSN-I,0.751,0.751,0.0,0.249,0.0,0.0,True
1.0265197,0.0047802487,18.227762,-14.076407,1.5979505,33.754295,0.052107148,0.8231987,0.010070871,10.457855,-14.201078,1.7268901,23.044338,0.031714857,170019696266444924,full_lightgbm_02_2025,SN Ibc,0.86,0.0,0.0,0.86,0.14,0.0,True
0.9975239,0.004690867,18.844746,-7.280134,2.1216235,25.559998,0.05809266,0.9099311,0.009587206,14.393362,-7.2436943,2.4652982,16.010891,0.027865428,170028485814779919,early_lightgbm_02_2025,SN Ibc,0.972,0.0,0.008,0.972,0.01,0.01,True
