"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"313756671741526382","59.066436030862036","-47.80041863835609","","","","","","","","Superphot LSST","2026-02-25T15:04:55","","",""
"313897383682900091","58.07857274370757","-47.83275990932091","","","","","","","","Superphot LSST","2026-02-25T15:04:54","","",""
"170028486178635819","63.10752937311695","-49.494712558665974","","","","","","","","Superphot LSST","2026-02-25T15:04:52","","",""
"313703904967655515","59.11028425025113","-48.532777609535664","","","","","","","","Superphot LSST","2026-02-25T15:04:51","","",""
"170028527324233836","187.84784730001223","7.974166294765835","","","","","","","","Superphot LSST","2026-02-25T15:04:49","","",""
"313708289021968455","60.96647787549045","-47.18966126345932","","","","","","","","Superphot LSST","2026-02-25T15:04:31","","",""
"313677516844302755","60.628202962539696","-47.42789451525128","","","","","","","","Superphot LSST","2026-02-25T15:04:29","","",""
"313708289123156661","65.47440424230435","-47.76760995718292","","","","","","","","Superphot LSST","2026-02-25T15:04:17","","",""
"313879818859970601","63.99752072017472","-48.29927012932443","","","","","","","","Superphot LSST","2026-02-25T15:04:16","","",""
"313681913501974541","63.49312574647366","-47.209148386099436","","","","","","","","Superphot LSST","2026-02-25T15:04:14","","",""
"170028488414724130","60.73839766350064","-47.52834717684442","","","","","","","","Superphot LSST","2026-02-25T15:04:12","","",""
"313681913638813716","63.368453729237984","-47.69273028517775","","","","","","","","Superphot LSST","2026-02-25T15:04:08","","",""
"313853517592265083","151.82934359152654","2.0330693008526093","","","","","","","","Superphot LSST","2026-02-25T15:04:05","","",""
"170019717277810782","151.76467553458397","2.0207759180762936","","","","","","","","Superphot LSST","2026-02-25T15:04:03","","",""
"313888627087114327","151.4615005204443","1.743863341043585","","","","","","","","Superphot LSST","2026-02-25T15:04:02","","",""
"313871013398970376","149.69810978772992","2.377556390104013","","","","","","","","Superphot LSST","2026-02-25T15:03:55","","",""
"170046089928376424","150.2805616974772","2.7465917468976935","","","","","","","","Superphot LSST","2026-02-25T15:03:54","","",""
"170019716286906868","148.47434130118154","2.689438316624658","","","","","","","","Superphot LSST","2026-02-25T15:03:52","","",""
"170032905875619955","149.69681415713737","2.3779854388998403","","","","","","","","Superphot LSST","2026-02-25T15:03:48","","",""
"170032906681450641","149.69574408527754","2.378263807253586","","","","","","","","Superphot LSST","2026-02-25T15:03:47","","",""
"314003013678661710","148.7725968247159","2.946914166727442","","","","","","","","Superphot LSST","2026-02-25T15:03:46","","",""
"313871013252694140","149.94348967411233","3.6161560111360362","","","","","","","","Superphot LSST","2026-02-25T15:03:42","","",""
"170046093472563246","150.62872956190685","3.6833780890589534","","","","","","","","Superphot LSST","2026-02-25T15:03:41","","",""
"170019716254926219","149.56947274329823","0.6021435232050614","","","","","","","","Superphot LSST","2026-02-25T15:03:40","","",""
"313853533158376118","151.5458800756722","3.3167487774314695","","","","","","","","Superphot LSST","2026-02-25T15:03:38","","",""
"170032901867438158","150.54949994904825","1.414425569995023","","","","","","","","Superphot LSST","2026-02-25T15:03:37","","",""
"170019716461494297","149.64613288556345","2.9703252271896416","","","","","","","","Superphot LSST","2026-02-25T15:03:36","","",""
"170028511771230587","151.8900522984454","1.7545968086944996","","","","","","","","Superphot LSST","2026-02-25T15:03:32","","",""
"313980947946012744","150.65012819344747","2.994618384860109","","","","","","","","Superphot LSST","2026-02-25T15:03:27","","",""
"313871013084397632","148.71617232088434","1.281578415724096","","","","","","","","Superphot LSST","2026-02-25T15:03:24","","",""
"313853517489504879","149.86211972740665","0.42879044456532217","","","","","","","","Superphot LSST","2026-02-25T15:03:20","","",""
"313853533133209653","150.69871552699394","3.111016488949083","","","","","","","","Superphot LSST","2026-02-25T15:03:18","","",""
"313972182585704492","150.57626397692502","2.1813532487020515","","","","","","","","Superphot LSST","2026-02-25T15:03:16","","",""
"313972183192305778","149.2567053641185","2.883326061530834","","","","","","","","Superphot LSST","2026-02-25T15:03:04","","",""
"313888627241779278","151.20819354090506","1.155360095270543","","","","","","","","Superphot LSST","2026-02-25T15:03:01","","",""
"313875416848269319","151.28450580944715","2.094179198027821","","","","","","","","Superphot LSST","2026-02-25T15:02:54","","",""
"170028510495637526","149.84341189101556","3.0790191631105555","","","","","","","","Superphot LSST","2026-02-25T15:02:52","","",""
"313853517553991744","149.50716046168031","2.792736136363783","","","","","","","","Superphot LSST","2026-02-25T15:02:50","","",""
"313871013298831385","151.12426291357627","2.9487418486354127","","","","","","","","Superphot LSST","2026-02-25T15:01:56","","",""
"313853517399326847","148.96383377476087","3.3124059932240897","","","","","","","","Superphot LSST","2026-02-25T15:01:55","","",""
"313967766555066434","149.93695856091873","1.0825571912213967","","","","","","","","Superphot LSST","2026-02-25T15:01:54","","",""
"313963406094237721","151.18460692131436","1.802072626560489","","","","","","","","Superphot LSST","2026-02-25T15:01:53","","",""
"313967766620078431","149.50311582842488","3.635559475271754","","","","","","","","Superphot LSST","2026-02-25T15:01:50","","",""
"313888627102318679","150.64713546875845","0.6477488627289367","","","","","","","","Superphot LSST","2026-02-25T15:01:13","","",""
"313972182945890309","149.90198458709648","3.626289546000518","","","","","","","","Superphot LSST","2026-02-25T15:01:06","","",""
"313853517490028622","149.9727550890296","0.4422415349357809","","","","","","","","Superphot LSST","2026-02-25T15:01:05","","",""
"170028527254503447","185.64403421952125","8.630365524546114","","","","","","","","Superphot LSST","2026-02-25T15:01:00","","",""
"170028527248212842","185.00429935732254","8.089830909393386","","","","","","","","Superphot LSST","2026-02-25T15:00:58","","",""
"170028530413862954","187.63341045302903","8.552838508466877","","","","","","","","Superphot LSST","2026-02-25T15:00:57","","",""
"170032916479344655","185.71249564617546","7.339142491999917","","","","","","","","Superphot LSST","2026-02-25T15:00:55","","",""
"170028526986068021","185.6355258553866","8.793442907441268","","","","","","","","Superphot LSST","2026-02-25T15:00:48","","",""
"170032919173136401","187.70756064640264","8.281117103510262","","","","","","","","Superphot LSST","2026-02-25T15:00:46","","",""
"170028528057190919","185.00699354602497","7.642163404827266","","","","","","","","Superphot LSST","2026-02-25T15:00:45","","",""
"170028527145975899","187.08414844047417","8.366140565530548","","","","","","","","Superphot LSST","2026-02-25T15:00:44","","",""
"170028526712913947","185.45888343007314","7.872634483152998","","","","","","","","Superphot LSST","2026-02-25T15:00:41","","",""
"170028531728777309","185.79299915940697","8.054297775597455","","","","","","","","Superphot LSST","2026-02-25T15:00:40","","",""
"170028527997943880","188.1741962693492","7.805513904631267","","","","","","","","Superphot LSST","2026-02-25T15:00:38","","",""
"170032918138191891","187.44698654786944","8.003941078571307","","","","","","","","Superphot LSST","2026-02-25T15:00:36","","",""
"170028535923081252","187.51139583981737","7.3660591899639005","","","","","","","","Superphot LSST","2026-02-25T15:00:33","","",""
"170028528011051061","188.2499716021515","7.052838284015926","","","","","","","","Superphot LSST","2026-02-25T15:00:27","","",""
"170032922922844339","186.146135304459","6.619372239465591","","","","","","","","Superphot LSST","2026-02-25T14:59:22","","",""
"170046110922965087","187.77012330467574","8.488892658772219","","","","","","","","Superphot LSST","2026-02-25T14:59:21","","",""
"170028528397451278","187.2042781695692","8.651733874109366","","","","","","","","Superphot LSST","2026-02-25T14:59:19","","",""
"170028528999333889","185.47140389149854","8.851418824510283","","","","","","","","Superphot LSST","2026-02-25T14:59:18","","",""
"170028527120810004","185.89142676728315","8.740443420057181","","","","","","","","Superphot LSST","2026-02-25T14:59:16","","",""
"170028528457744406","185.2774884551944","7.804584085321802","","","","","","","","Superphot LSST","2026-02-25T14:59:12","","",""
"170028528009478217","188.15444705185968","7.267308885465801","","","","","","","","Superphot LSST","2026-02-25T14:59:10","","",""
"170032917163016282","187.70773639904354","8.273939584486595","","","","","","","","Superphot LSST","2026-02-25T14:59:07","","",""
"170028530023268399","188.08157465770324","6.6740611488565085","","","","","","","","Superphot LSST","2026-02-25T14:59:06","","",""
"170028527997943835","188.04184558818912","7.798794528275849","","","","","","","","Superphot LSST","2026-02-25T14:59:04","","",""
"170028527876833332","188.0823129779029","7.082888309406438","","","","","","","","Superphot LSST","2026-02-25T14:59:02","","",""
"170028527458451541","187.8321540680139","8.049164143640416","","","","","","","","Superphot LSST","2026-02-25T14:59:01","","",""
"170028526924202013","187.96093030466707","7.031671053532647","","","","","","","","Superphot LSST","2026-02-25T14:58:59","","",""
"170028526531510615","187.75114191405873","6.027277007661545","","","","","","","","Superphot LSST","2026-02-25T14:58:57","","",""
"170028526789460018","187.9423097979331","6.582272833717587","","","","","","","","Superphot LSST","2026-02-25T14:58:56","","",""
