name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag
15CYSEbmm,68.95055725131533,20.285,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbmm|*YSE-PZ*>,577.B,254.3981687917028,19.636455113720952,,,---,0.541198,0.9999999999980766,2.940879107319839,decals,-20.369615334513004,0.541198,9906628799041781,True,-21.77738165063961
15CYSEbnc,67.11755725131661,19.844,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbnc|*YSE-PZ*>,527.C,227.19315616918573,9.480494789653324,,,---,0.1798666373059974,0.999999999999991,1.0093672150652708,glade,-20.78000102590105,,J150846.31+092849,False,
15CYSEbkc,24.08855725131434,20.456999999999997,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbkc|*YSE-PZ*>,674.D,247.57218171959627,35.98648082505974,,,---,0.866138,0.9761543480758763,0.11790730860984541,decals,-21.80186200294992,0.866138,9907733721187350,True,-22.641366738229493
15DYSEbua,71.94455725131411,17.256999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbua|*YSE-PZ*>,Virgo.B,237.37893888449716,6.960063275271952,,,---,1.332524,0.7294990527382084,7.559937056146146,decals,-20.97568693736998,,9908823140210277,False,
15EYSEcif,20.126557251314807,19.951999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcif|*YSE-PZ*>,719.A,247.8485111608978,39.626580842789444,,,---,0.276044,0.9999999999999933,0.21878608295921492,decals,-21.865085388785936,0.276044,9907734840607633,True,-20.598376481713636
15EYSEcjg,22.228557251321035,19.538,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcjg|*YSE-PZ*>,719.A,217.0702097846783,23.345536337437483,,,---,0.755594,0.9999999999999897,0.11794262726015417,decals,-22.926574053371862,0.755594,9906630020631216,True,-23.26295442699432
15DYSEbup,14.0365572513183,15.208,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbup|*YSE-PZ*>,577.B,253.8008757778888,19.474213493412442,,,---,0.429619,0.9999999999999855,0.2857187259542637,decals,-22.25197257011634,0.429619,9906628709847117,True,-26.337345792849554
15EYSEcfo,5.138557251317252,21.023,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcfo|*YSE-PZ*>,719.A,249.18788888059336,38.57532873348789,,,---,0.511431,0.9999999999975785,1.965498986909381,decals,-20.73334403403123,0.511431,9907734474130308,True,-20.913012360294868
15CYSEbsg,34.079557251316146,20.41,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbsg|*YSE-PZ*>,674.D,263.270214276744,34.91914084683155,,,---,0.399086,0.8617893830683783,2.989829088209198,decals,-21.442331939417535,0.399086,9907733416642716,True,-20.96971088531738
15EYSEcii,12.163557251318707,20.929,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcii|*YSE-PZ*>,749.E,211.79454939563033,45.9559793348547,,,---,0.035752,0.9720098330643485,30.640199072879074,decals,-19.22714286315776,0.035752,9907736566171811,True,-15.08732517962674
