name,superphot_plus_prob,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,peak_phase,superphot_plus_class,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,superphot_plus_classifier,superphot_plus_sampler,superphot_non_Ia_prob,posted_before
ANT2026h8f9u52bqnie,0.959,22.01314706409252,,477.C,149.50311023596612,3.6356269709642532,---,,---,0.342251,0.9999999999999892,0.12500386162232568,decals,-20.143583787078427,0.342251,9906622871700355,True,-19.020983099646646,6.633324398877448,SN II,SN II,0.699,full_lightgbm_02_2025,svi,1.0,False
ANT202616qig8shp9xy,0.958,22.32621519245655,,,63.96112543356422,-47.323364788633285,---,,---,0.86854,0.9825733385984033,0.29900533090798126,decals,-19.61614721395488,0.86854,9906605534217461,True,-20.77814740103415,6.728950730779616,SN IIn,SN IIn,0.375,early_lightgbm_02_2025,svi,1.0,False
ANT20269u1rsxz8079w,0.955,21.341098781208025,,477.C,148.96389300983844,3.312438858415234,---,,---,0.265278,0.9999999999999872,0.15427896140933423,decals,-18.40852325287214,0.265278,9906622683086994,True,-19.119810837016917,6.620399232211639,SN II,SN II,0.341,early_lightgbm_02_2025,svi,1.0,False
ANT2026w2qzfhbr11l6,0.954,21.74064976483841,,,58.23811121782808,-50.0924920916554,---,,---,0.365573,0.9999999999999897,0.46828021832405703,decals,-20.124849243664347,0.365573,9906604845829914,True,-19.441809107465772,43.581612458176096,SN Ibc,SN Ibc,0.985,full_lightgbm_02_2025,svi,0.954,False
ANT20262063nu7yo018,0.949,22.076971914477454,,,58.854060838006085,-48.07970468753959,---,,---,0.396923,0.9999486303412048,0.11972343568014684,decals,-20.87311001700369,0.396923,9906605342141706,True,-19.290522119064846,5.722901203887886,SN Ibc,SN Ibc,1.0,full_lightgbm_02_2025,svi,0.949,False
ANT2026eoykjn742wue,0.947,20.476803680588645,,,62.72956825322037,-49.11345868828138,---,,---,0.11509,0.9737355680467972,0.11976741760134402,decals,-20.027923696319903,0.11509,9906605092309002,True,-18.11664028204798,0.7862441920879064,SN Ibc,SN Ibc,0.93,early_lightgbm_02_2025,svi,0.965,False
ANT20262w47b4qio2mk,0.945,22.2720848653779,<https://ziggy.ucolick.org/yse/transient_detail/2026ejh|*YSE-PZ*>,,57.25022675192704,-49.353434593628265,---,,---,0.695758,0.9994124510029057,0.19136430328930903,decals,-19.3441634065843,0.695758,9906605029459303,True,-20.34762778906372,38.718500648821646,SN Ia,SN Ibc,1.0,full_lightgbm_02_2025,svi,0.05500000000000005,False
ANT2026mhs3x12gohm6,0.943,21.90248430435808,,468.A,150.82152019008078,1.0537310095425312,---,,---,0.364598,0.9952432026394615,0.7678140036051889,decals,-20.210828125581664,0.364598,9906621834266142,True,-19.273966456604338,38.51745131246571,SN Ibc,SN Ibc,0.957,full_lightgbm_02_2025,svi,0.971,False
ANT2026ml0vepybe8kd,0.932,21.286515661523808,,,65.08060078096013,-48.039726142635686,---,,---,0.391409,0.9928442297045494,0.8339200510886642,decals,-20.959369447307953,0.391409,9906605343251045,True,-20.049527500770708,38.7132905429462,SN Ia,SN Ia,0.689,full_lightgbm_02_2025,svi,0.06799999999999995,False
ANT2026alatpwm8jtgw,0.913,22.312047580049487,,,60.39249829768881,-48.89726136258599,---,,---,0.842948,0.9999999999999897,0.1163772025866962,decals,-22.59011315767585,0.842948,9906605091914170,True,-20.72748157965784,2.7212242227396928,SN IIn,SLSN-I,0.957,full_lightgbm_02_2025,svi,0.913,False
ANT2026zlb86lpnikap,0.911,21.93374939713248,,,62.43245851740939,-48.755537042951175,---,,---,0.404059,0.9933787887643568,1.4258730965223618,decals,-21.392056458065703,0.404059,9906605154436142,True,-19.473797220128965,43.581612458176096,SN Ibc,SN Ibc,1.0,full_lightgbm_02_2025,svi,0.911,False
ANT2026700io9gr6l05,0.911,21.947628686570564,,,57.55344021058708,-49.75245309082959,---,,---,0.392561,0.9999999999997671,2.7563038098231187,decals,-22.775444212140993,0.392561,9906604906712226,True,-19.39502213938055,27.734409024233173,SN Ia,SN Ia,0.5,full_lightgbm_02_2025,dynesty,0.08899999999999997,False
ANT20263cl5oi7jel5c,0.902,21.693335815389613,,,59.67675473349408,-48.52113138760009,---,,---,0.941429,0.9999999999999905,0.10868231987287648,decals,-22.280412309815272,0.941429,9906605216374975,True,-21.58479985949728,38.71519310405711,SLSN-I,SN Ibc,0.59,full_lightgbm_02_2025,svi,0.951,False
ANT2026hadg2596t6od,0.9,22.466467701433103,,,63.26348127297454,-46.063377596992666,---,,---,1.301588,0.9999999999999412,1.750041626497048,decals,-20.492928583600904,1.301588,9906605858754685,True,-21.49446788216775,2.71688799601543,SN IIn,SN II,0.8,full_lightgbm_02_2025,svi,1.0,False
